,ID,Name,Native,Pubchem CID,Smiles,3D
0,1,alpha-pinene,"Ocimum basilicum

",6654,CC1=CCC2CC1C2(C)C,1
1,2,gamma-terpinene,"Ocimum basilicum

",7461,CC1=CCC(=CC1)C(C)C,1
2,3,cyclohexanemethanol,"Ocimum basilicum

",7507,C1CCC(CC1)CO,1
3,4,linalyl acetate,"Ocimum basilicum

",8294,CC(=CCCC(C)(C=C)OC(=O)C)C,1
4,5,terpinene-4-ol,"Ocimum basilicum

",11230,CC1=CCC(CC1)(C(C)C)O,1
5,6,alpha-terpinolene,"Ocimum basilicum

",11463,CC1=CCC(=C(C)C)CC1,1
6,7,5-ethyl-m-xylene,"Ocimum basilicum

",13627,CCC1=CC(=CC(=C1)C)C,1
7,8,"2-cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-, (S)- ","Ocimum basilicum

",16724,CC1=CCC(CC1=O)C(=C)C,1
8,9,beta-ocimene,"Ocimum basilicum

",18756,CC(=CCC=C(C)C=C)C,1
9,10,sabinene,"Ocimum basilicum

",18818,CC(C)C12CCC(=C)C1C2,1
10,11,beta-myrcene,"Ocimum basilicum

",31253,CC(=CCCC(=C)C=C)C,1
11,12,3-methyl-2-butenal,"Ocimum basilicum

",61020,CC(=CC=O)C,1
12,13,beta-eudesmol,"Ocimum basilicum

",91457,CC12CCCC(=C)C1CC(CC2)C(C)(C)O,1
13,14,alpha-eudesmol,"Ocimum basilicum

",92762,CC1=CCCC2(C1CC(CC2)C(C)(C)O)C,1
14,15,terpinyl acetate,"Ocimum basilicum

",111037,CC1=CCC(CC1)C(C)(C)OC(=O)C,1
15,16,cyclopentylacetone,"Ocimum basilicum

",136897,CC(=O)CC1CCCC1,1
16,17,3-octanyl acetate,"Ocimum basilicum

",521238,CCCCCC(CC)OC(=O)C,1
17,18,neral,"Ocimum basilicum

",643779,CC(=CCCC(=CC=O)C)C,1
18,19,neryl acetate,"Ocimum basilicum

",1549025,CC(=CCCC(=CCOC(=O)C)C)C,1
19,20,geranyl acetate,"Ocimum basilicum

",1549026,CC(=CCCC(=CCOC(=O)C)C)C,1
20,21,alpha-humulene,"Ocimum basilicum

",5281520,CC1=CCC(C=CCC(=CCC1)C)(C)C,1
21,22,cis-ocimene,"Ocimum basilicum

",5320250,CC(=CCC=C(C)C=C)C,1
22,23,alpha-selinene,"Ocimum basilicum

",10856614,CC1=CCCC2(C1CC(CC2)C(=C)C)C,1
23,24,trans sabinene hydrate,"Ocimum basilicum

",12315151,CC(C)C12CCC(C1C2)(C)O,1
24,25,methyl eugenol,"Ocimum basilicum

",7127,COC1=C(C=C(C=C1)CC=C)OC,1
25,26,p-cymene,"Ocimum basilicum

",7463,CC1=CC=C(C=C1)C(C)C,1
26,27,n-octyl acetate,"Ocimum basilicum

",8164,CCCCCCCCOC(=O)C,1
27,28,beta-pinene,"Ocimum basilicum

",14896,CC1(C2CCC(=C)C1C2)C,1
28,29,limonene,"Ocimum basilicum

",22311,CC1=CCC(CC1)C(=C)C,1
29,30,beta-bourbonene,"Ocimum basilicum

",62566,CC(C)C1CCC2(C1C3C2CCC3=C)C,1
30,31,beta-cubebene,"Ocimum basilicum

",93081,CC1CCC(C2C13C2C(=C)CC3)C(C)C,1
31,32,pinocarvone,"Ocimum basilicum

",121719,CC1(C2CC1C(=C)C(=O)C2)C,1
32,33,exo-2-hydroxycineole acetate,"Ocimum basilicum

",175002,CC(=O)OC1CC2CCC1(OC2(C)C)C,1
33,34,benzaldehyde,"Ocimum basilicum

",240,C1=CC=C(C=C1)C=O,1
34,35,alpha-cubebene,"Ocimum basilicum

",442359,CC1CCC(C2C13C2C(=CC3)C)C(C)C,1
35,36,epsilon-muurolene,"Ocimum basilicum

",520461,CC(C)C1CCC(=C)C2C1CC(=C)CC2,1
36,37,"3,7-dimethylocta-1,7-dien-3,6-diol","Ocimum basilicum

",548927,CC(=C)C(CCC(C)(C=C)O)O,1
37,38,geranial,"Ocimum basilicum

",638011,CC(=CCCC(=CC=O)C)C,1
38,39,nerol,"Ocimum basilicum

",643820,CC(=CCCC(=CCO)C)C,1
39,40,cis-3-hexenyl acetate,"Ocimum basilicum

",5363388,CCC=CCCOC(=O)C,1
40,41,neo-allo-ocimene,"Ocimum basilicum

",5371125,CC=C(C)C=CC=C(C)C,1
41,42,cis-linalool oxide,"Ocimum basilicum

",6428573,CC1(CCC(O1)C(C)(C)O)C=C,1
42,43,alpha-acoradiene,"Ocimum basilicum

",6429151,CC1CCC2(C=C1)C(CC=C2C(C)C)C,1
43,44,trans-alpha-bergamotene,"Ocimum basilicum

",6429302,CC1=CCC2CC1C2(C)CCC=C(C)C,1
44,45,trans-linalool oxide,"Ocimum basilicum

",6432254,CC1(CCC(O1)C(C)(C)O)C=C,1
45,46,beta-acoradiene,"Ocimum basilicum

",20055537,CC1CCC(C12CCC(=CC2)C)C(=C)C,1
46,47,"cis-muurola-4(14),5-diene","Ocimum basilicum

",51351709,CC1CCC(C2=CC(=C)CCC12)C(C)C,1
47,48,bicycloelemene,"Ocimum basilicum

",56842786,CC(=C)C1C2C(C2(C)C)CCC1(C)C=C,1
48,49,beta-copaene,"Ocimum basilicum

",57339298,CC(C)C1CCC2(C3C1C2C(=C)CC3)C,0
49,50,"cadina-3,5-diene","Ocimum basilicum

",91723677,CC1CCC(C2=CC(=CCC12)C)C(C)C,1
50,51,alpha-ylangene,"Ocimum basilicum

",101607926,CC1=CCC2C3C1C2(CCC3C(C)C)C,1
51,52,camphor,"Ocimum basilicum

",2537,CC1(C2CCC1(C(=O)C2)C)C,1
52,53,eugenol,"Ocimum basilicum

",3314,COC1=C(C=CC(=C1)CC=C)O,1
53,54,methyl isoeugenol,"Ocimum basilicum

",7128,CC=CC1=CC(=C(C=C1)OC)OC,1
54,55,borneol,"Ocimum basilicum

",64685,CC1(C2CCC1(C(C2)O)C)C,1
55,56,chavicol,"Ocimum basilicum

",68148,C=CCC1=CC=C(C=C1)O,1
56,57,(e)-beta-ocimene,"Ocimum basilicum

",5281553,CC(=CCC=C(C)C=C)C,1
57,58,gamma-muurolene,"Ocimum basilicum

",12313020,CC1=CC2C(CC1)C(=C)CCC2C(C)C,1
58,59,"cis-muurola-3,5-diene","Ocimum basilicum

",51351708,CC1CCC(C2=CC(=CCC12)C)C(C)C,1
